City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Rain L3H,Snow L3H
0,Manoharpur,IN,22.35,85.21,68.76,85,4,4.12,clear sky,0.0,0.0
1,Rikitea,PF,-23.12,-134.97,73.15,82,95,16.28,overcast clouds,0.0,0.0
2,Tura,RU,64.27,100.22,-17.79,91,100,2.86,overcast clouds,0.0,0.0
3,Punta Arenas,CL,-53.16,-70.91,50.0,57,95,10.29,overcast clouds,0.0,0.0
4,Richards Bay,ZA,-28.77,32.06,69.66,94,100,23.62,heavy intensity rain,20.5,0.0
5,Busselton,AU,-33.64,115.35,57.99,54,0,13.85,clear sky,0.0,0.0
6,Ribeira Grande,PT,38.52,-28.7,69.8,73,40,5.82,scattered clouds,0.0,0.0
7,Avdon,IL,33.05,35.18,80.6,47,20,6.93,few clouds,0.0,0.0
8,East London,ZA,-33.02,27.91,66.2,88,75,13.87,broken clouds,0.0,0.0
9,Mar Del Plata,AR,-46.43,-67.52,54.21,62,74,19.48,broken clouds,0.0,0.0
10,Camacha,PT,33.08,-16.33,68.0,64,40,13.87,scattered clouds,0.0,0.0
11,Arlit,NE,18.74,7.39,90.7,9,70,7.27,broken clouds,0.0,0.0
12,Nanortalik,GL,60.14,-45.24,32.59,97,83,56.57,snow,0.0,1.88
13,Arraial Do Cabo,BR,-22.97,-42.02,82.4,74,75,8.05,broken clouds,0.0,0.0
14,Touros,BR,-5.2,-35.46,86.0,55,40,14.99,scattered clouds,0.0,0.0
15,Atuona,PF,-9.8,-139.03,79.32,70,3,12.97,clear sky,0.0,0.0
16,Nara,JP,34.68,135.8,52.0,50,98,4.05,overcast clouds,0.0,0.0
17,Port Elizabeth,US,39.31,-74.98,57.0,49,1,8.05,light rain,0.0,0.0
18,Bredasdorp,ZA,-34.53,20.04,66.99,72,100,16.11,overcast clouds,0.0,0.0
19,Dikson,RU,73.51,80.55,13.06,90,95,11.3,overcast clouds,0.0,0.0
20,Clyde River,CA,70.47,-68.59,14.0,92,100,38.41,light snow,0.0,0.31
21,Kodiak,US,39.95,-94.76,55.0,57,1,10.29,clear sky,0.0,0.0
22,Cape Town,ZA,-33.93,18.42,72.0,72,70,13.87,broken clouds,0.0,0.0
23,Castro,CL,-42.48,-73.76,66.2,55,86,9.17,overcast clouds,0.0,0.0
24,Albany,US,42.65,-73.75,45.0,41,90,10.29,overcast clouds,0.0,0.0
25,Saldanha,PT,41.42,-6.55,42.44,81,83,8.5,broken clouds,0.0,0.0
26,Kapaa,US,22.08,-159.32,75.2,73,90,4.7,overcast clouds,0.0,0.0
27,Presidencia Roque Saenz Pena,AR,-26.79,-60.44,93.67,34,6,9.17,clear sky,0.0,0.0
28,Barrow,AR,-38.31,-60.23,73.45,46,100,14.45,overcast clouds,0.0,0.0
29,Tuktoyaktuk,CA,69.44,-133.03,5.0,71,5,6.93,clear sky,0.0,0.0
30,Aitape,PG,-3.15,142.36,80.4,79,90,9.51,moderate rain,4.56,0.0
31,Mandurah,AU,-32.55,115.7,61.0,100,0,15.59,clear sky,0.0,0.0
32,Mataura,NZ,-46.19,168.86,45.0,86,100,1.01,overcast clouds,0.0,0.0
33,Faanui,PF,-16.48,-151.75,79.93,78,100,16.51,overcast clouds,0.0,0.0
34,Hithadhoo,MV,-0.6,73.08,82.58,75,36,9.95,light rain,0.94,0.0
35,Upernavik,GL,72.79,-56.15,24.13,60,75,11.63,broken clouds,0.0,0.0
36,Mul,IN,20.07,79.68,71.78,76,0,2.75,clear sky,0.0,0.0
37,Vaini,IN,15.34,74.49,68.32,73,7,3.06,clear sky,0.0,0.0
38,Port-Gentil,GA,-0.72,8.78,80.6,88,40,8.05,scattered clouds,0.0,0.0
39,Tocopilla,CL,-22.09,-70.2,77.11,17,100,12.06,overcast clouds,0.0,0.0
40,Ponta Do Sol,BR,-20.63,-46.0,85.91,45,92,4.25,overcast clouds,0.0,0.0
41,Husavik,CA,50.56,-96.99,15.01,67,75,11.01,broken clouds,0.0,0.0
42,Aksarayskiy,RU,46.79,48.01,44.6,81,0,13.42,clear sky,0.0,0.0
43,Tucuman,PE,-17.17,-70.89,72.39,21,100,14.09,overcast clouds,0.0,0.0
44,Ushuaia,AR,-54.81,-68.31,55.4,54,0,4.7,clear sky,0.0,0.0
45,Provideniya,RU,64.42,-173.23,31.37,98,100,9.53,overcast clouds,0.0,0.0
46,Jamestown,AU,-33.21,138.6,56.44,29,0,8.5,clear sky,0.0,0.0
47,Dwarka,IN,28.58,77.04,75.34,31,67,5.12,broken clouds,0.0,0.0
48,Port Alfred,ZA,-33.59,26.89,64.0,94,96,8.01,light rain,0.37,0.0
49,Codrington,AU,-28.95,153.24,57.99,87,90,3.36,overcast clouds,0.0,0.0
50,Nueve De Julio,AR,-31.67,-68.39,90.46,29,8,9.75,clear sky,0.0,0.0
51,Luderitz,NA,-26.65,15.16,66.2,68,23,11.41,few clouds,0.0,0.0
52,Krasnyy Chikoy,RU,50.36,108.75,8.58,86,9,1.92,clear sky,0.0,0.0
53,Tasiilaq,GL,65.61,-37.64,37.4,95,100,55.25,light rain,0.0,0.0
54,Lorengau,PG,-2.02,147.27,82.74,76,99,11.56,moderate rain,5.25,0.0
55,Mehamn,NO,71.03,27.85,28.4,68,75,19.46,broken clouds,0.0,0.0
56,Inirida,CO,3.87,-67.92,93.83,47,59,3.06,broken clouds,0.0,0.0
57,Viedma,AR,-40.81,-62.99,63.73,48,98,16.33,overcast clouds,0.0,0.0
58,Carbondale,US,38.82,-95.69,59.0,58,1,6.93,clear sky,0.0,0.0
59,Leningradskiy,RU,69.38,178.42,17.13,59,75,5.06,broken clouds,0.0,0.0
60,Naze,NG,5.43,7.07,77.0,88,75,3.36,broken clouds,0.0,0.0
61,Pisco,PE,-13.71,-76.2,71.6,30,90,10.29,overcast clouds,0.0,0.0
62,Vardo,US,39.62,-77.74,57.99,37,1,8.05,clear sky,0.0,0.0
63,Hilo,US,19.71,-155.08,73.99,68,1,6.93,clear sky,0.0,0.0
64,Srednekolymsk,RU,67.46,153.71,-8.2,100,41,1.25,scattered clouds,0.0,0.0
65,Saint Anthony,US,43.97,-111.68,46.0,48,75,10.29,broken clouds,0.0,0.0
66,Leh,IN,34.16,77.58,16.41,40,25,5.03,scattered clouds,0.0,0.0
67,Margate,AU,-43.03,147.26,53.6,62,78,6.93,broken clouds,0.0,0.0
68,Alexandria,RO,43.97,25.33,55.0,90,55,3.91,light rain,0.75,0.0
69,Carnarvon,ZA,-30.97,22.13,67.5,45,68,22.1,broken clouds,0.0,0.0
70,Cabo San Lucas,MX,22.89,-109.91,91.99,62,20,3.36,few clouds,0.0,0.0
71,Abay,KZ,49.63,72.87,5.0,84,26,2.24,scattered clouds,0.0,0.0
72,Churapcha,RU,62.0,132.43,-19.68,93,15,1.25,few clouds,0.0,0.0
73,Saskylakh,RU,71.97,114.09,-14.61,99,94,2.26,overcast clouds,0.0,0.0
74,Voyvozh,RU,62.89,54.96,20.89,92,100,9.84,light snow,0.0,0.81
75,Savannah Bight,HN,16.45,-85.85,82.99,67,24,3.11,light rain,1.0,0.0
76,Esperance,AU,-33.86,121.89,57.2,71,90,13.87,overcast clouds,0.0,0.0
77,Bergerac,FR,44.85,0.49,46.4,75,25,3.36,light rain,0.25,0.0
78,Qaanaaq,GL,77.48,-69.36,-4.94,33,0,3.94,clear sky,0.0,0.0
79,Kendari,ID,-3.99,122.52,74.84,88,92,1.05,overcast clouds,0.0,0.0
80,Butaritari,KI,3.07,172.79,83.68,70,72,5.61,broken clouds,0.0,0.0
81,Severo-Kurilsk,RU,50.68,156.12,29.89,81,87,15.08,light snow,0.0,0.19
82,Kasongo-Lunda,CD,-6.48,16.82,72.05,94,100,0.56,light rain,0.5,0.0
83,Coihaique,CL,-45.58,-72.07,66.2,55,75,10.29,broken clouds,0.0,0.0
84,Khatanga,RU,71.98,102.47,-2.8,97,100,11.68,light snow,0.0,0.5
85,Hermanus,ZA,-34.42,19.24,72.0,80,98,11.99,overcast clouds,0.0,0.0
86,Hondo,US,29.35,-99.14,71.01,59,1,13.87,clear sky,0.0,0.0
87,Templin,DE,53.12,13.5,45.0,100,90,2.24,fog,0.0,0.0
88,Kanniyakumari,IN,8.08,77.57,81.73,79,60,10.0,broken clouds,0.0,0.0
89,Hobyo,SO,5.35,48.53,79.2,76,50,13.56,scattered clouds,0.0,0.0
90,Ambon,FR,47.55,-2.56,50.0,87,40,5.82,light rain,0.0,0.0
91,Ostrovnoy,RU,68.05,39.51,23.99,91,100,11.14,light snow,0.0,0.19
92,Pizarro,CO,4.95,-77.37,78.08,85,13,9.19,light rain,0.69,0.0
93,Bambous Virieux,MU,-20.34,57.76,73.99,83,40,6.93,scattered clouds,0.0,0.0
94,Baturaja,ID,-4.12,104.17,74.95,74,56,0.74,broken clouds,0.0,0.0
95,Sao Filipe,CV,14.9,-24.5,75.51,80,84,17.83,broken clouds,0.0,0.0
96,Dali,CN,34.79,109.94,51.96,31,0,2.51,clear sky,0.0,0.0
97,Baykit,RU,61.68,96.39,-12.79,96,98,3.31,overcast clouds,0.0,0.0
98,Kavieng,PG,-2.57,150.8,80.65,74,100,3.18,overcast clouds,0.0,0.0
99,Thaba-Tseka,LS,-29.52,28.61,55.47,56,59,6.51,broken clouds,0.0,0.0
100,Alvorada,BR,-30.0,-51.08,75.0,100,90,14.99,light intensity drizzle rain,0.0,0.0
101,Bilma,NE,18.69,12.92,81.19,13,10,8.37,clear sky,0.0,0.0
102,Puerto Cabezas,NI,14.04,-83.39,87.8,79,40,9.17,haze,0.0,0.0
103,Yar-Sale,RU,66.83,70.83,-6.07,97,0,7.92,clear sky,0.0,0.0
104,Cherskiy,RU,68.75,161.3,4.33,59,19,0.51,few clouds,0.0,0.0
105,Arbazh,RU,57.68,48.31,33.06,88,100,10.02,light rain,0.44,0.0
106,Manta,RO,45.1,24.1,52.81,87,78,2.51,light rain,1.75,0.0
107,Avarua,CK,-21.21,-159.78,73.4,88,5,4.7,light rain,1.06,0.0
108,Sao Domingos,BR,-13.4,-46.32,97.21,25,50,1.12,scattered clouds,0.0,0.0
109,Champerico,MX,16.38,-93.6,80.6,54,20,3.36,few clouds,0.0,0.0
110,Rio Gallegos,AR,-51.62,-69.22,57.2,41,75,12.75,broken clouds,0.0,0.0
111,Ahipara,NZ,-35.17,173.16,55.0,100,96,14.38,light rain,0.81,0.0
112,Lipin Bor,RU,60.26,37.97,41.2,98,100,9.66,light rain,1.06,0.0
113,Kachug,RU,53.96,105.89,5.94,84,44,2.55,scattered clouds,0.0,0.0
114,Pevek,RU,69.7,170.27,8.42,66,71,2.28,broken clouds,0.0,0.0
115,Manoel Urbano,BR,-8.84,-69.26,78.12,94,92,3.38,moderate rain,4.0,0.0
116,Gravelbourg,CA,49.88,-106.56,9.5,80,100,10.67,overcast clouds,0.0,0.0
117,Lavrentiya,RU,65.58,-170.99,33.8,90,99,7.07,overcast clouds,0.0,0.0
118,Itoman,JP,26.12,127.67,71.6,53,40,5.82,scattered clouds,0.0,0.0
119,Nikolskoye,RU,59.7,30.79,48.99,93,75,2.24,broken clouds,0.0,0.0
120,New Norfolk,AU,-42.78,147.06,53.6,62,87,6.93,overcast clouds,0.0,0.0
121,Altay,CN,47.83,88.13,20.53,96,100,1.59,snow,0.0,1.75
122,Ladario,PT,40.7,-7.74,48.0,93,98,1.01,light rain,0.56,0.0
123,Balakhta,RU,55.38,91.62,9.61,65,100,6.69,overcast clouds,0.0,0.0
124,Bathsheba,BB,13.22,-59.52,87.8,66,40,19.46,scattered clouds,0.0,0.0
125,Prince Rupert,CA,54.32,-130.32,48.2,93,90,4.7,overcast clouds,0.0,0.0
126,Broceni,LV,56.7,22.53,41.23,94,90,4.61,overcast clouds,0.0,0.0
127,Joao Camara,BR,-5.54,-35.82,86.0,55,40,14.99,scattered clouds,0.0,0.0
128,Vyshestebliyevskaya,RU,45.2,37.0,51.8,71,0,4.47,clear sky,0.0,0.0
129,Tiksi,RU,71.64,128.87,-16.66,100,90,0.78,overcast clouds,0.0,0.0
130,Yabrud,SY,33.97,36.66,64.4,22,21,6.93,few clouds,0.0,0.0
131,Constitucion,MX,23.99,-104.67,72.0,46,20,2.24,few clouds,0.0,0.0
132,Ucluelet,CA,48.94,-125.55,52.0,100,75,2.33,fog,0.0,0.0
133,Severomuysk,RU,56.17,113.57,-12.92,91,25,6.82,scattered clouds,0.0,0.0
134,Mahebourg,MU,-20.41,57.7,73.99,83,40,6.93,scattered clouds,0.0,0.0
135,Sorland,NO,67.67,12.69,35.6,59,0,17.22,clear sky,0.0,0.0
136,Bluff,AU,-23.58,149.07,64.4,24,22,5.66,few clouds,0.0,0.0
137,Skibbereen,IE,51.55,-9.27,44.6,87,75,14.99,light rain,0.0,0.0
138,Warrnambool,AU,-38.38,142.48,46.99,89,46,7.0,scattered clouds,0.0,0.0
139,Cidreira,BR,-30.17,-50.22,69.64,92,100,20.51,light rain,1.06,0.0
140,Abha,SA,18.22,42.5,62.6,45,40,9.17,scattered clouds,0.0,0.0
141,Tolaga Bay,NZ,-38.37,178.3,62.11,81,33,16.69,scattered clouds,0.0,0.0
142,Portland,US,43.66,-70.25,46.99,36,75,5.82,broken clouds,0.0,0.0
143,Meulaboh,ID,4.14,96.13,80.53,77,100,6.4,moderate rain,3.44,0.0
144,Yulara,AU,-25.24,130.99,66.2,13,39,1.12,scattered clouds,0.0,0.0
145,Rioja,PE,-6.06,-77.17,81.1,59,58,2.57,light rain,3.0,0.0
146,Goderich,CA,43.74,-81.71,42.01,91,100,8.01,overcast clouds,0.0,0.0
