City_ID,City,Country,Max Temp,Lat,Lng,Weather Description,Hotel Name
7,Avdon,IL,80.6,33.05,35.18,few clouds,Travel Hotel Eilon
13,Arraial Do Cabo,BR,82.4,-22.97,-42.02,broken clouds,Pousada Porto Praia
14,Touros,BR,86.0,-5.2,-35.46,scattered clouds,INN NEW HORIZON
15,Atuona,PF,79.32,-9.8,-139.03,clear sky,Villa Enata
26,Kapaa,US,75.2,22.08,-159.32,overcast clouds,Courtyard by Marriott Kaua'i at Coconut Beach
33,Faanui,PF,79.93,-16.48,-151.75,overcast clouds,Bora-Bora Pearl Beach Resort & Spa
38,Port-Gentil,GA,80.6,-0.72,8.78,scattered clouds,Fengshui Residence
39,Tocopilla,CL,77.11,-22.09,-70.2,overcast clouds,Hotel Galvarino
40,Ponta Do Sol,BR,85.91,-20.63,-46.0,overcast clouds,Hotel Escarpas do Lago
47,Dwarka,IN,75.34,28.58,77.04,broken clouds,Radisson Blu New Delhi Dwarka
60,Naze,NG,77.0,5.43,7.07,broken clouds,Female Hostel C
80,Butaritari,KI,83.68,3.07,172.79,broken clouds,Isles Sunset Lodge
88,Kanniyakumari,IN,81.73,8.08,77.57,broken clouds,Sparsa
89,Hobyo,SO,79.2,5.35,48.53,scattered clouds,
95,Sao Filipe,CV,75.51,14.9,-24.5,broken clouds,Tortuga B&B
98,Kavieng,PG,80.65,-2.57,150.8,overcast clouds,Nusa Island Retreat
100,Alvorada,BR,75.0,-30.0,-51.08,light intensity drizzle rain,Milão Hotel
101,Bilma,NE,81.19,18.69,12.92,clear sky,Expeditions Ténére voyages
102,Puerto Cabezas,NI,87.8,14.04,-83.39,haze,Hotel Caribe
109,Champerico,MX,80.6,16.38,-93.6,few clouds,
124,Bathsheba,BB,87.8,13.22,-59.52,scattered clouds,Atlantis Hotel
127,Joao Camara,BR,86.0,-5.54,-35.82,scattered clouds,Pousada da Passagem
151,Makakilo City,US,75.99,21.35,-158.09,clear sky,Marriott's Ko Olina Beach Club
153,Puerto Ayora,EC,77.0,-0.74,-90.35,broken clouds,Finch Bay Galapagos Hotel
159,Chirongui,YT,80.6,-12.93,45.15,few clouds,La Villa Mahatsara
174,Natal,BR,86.0,-5.81,-35.21,scattered clouds,Monza Palace Hotel
181,Upata,VE,89.01,8.02,-62.41,overcast clouds,Posada Villa Nela
185,Guayaramerin,BO,87.8,-10.82,-65.36,scattered clouds,Hostal FÜNF
190,Palanpur,IN,76.6,24.17,72.44,clear sky,Hotel Lajwanti
195,Georgetown,GY,87.8,6.8,-58.16,scattered clouds,Kanhai's Center
196,Vila Velha,BR,87.8,-3.71,-38.6,few clouds,Hotel Iparana Paradise
201,Mbini,GQ,82.4,1.58,9.62,thunderstorm,
211,Talpa,MX,82.99,28.83,-111.63,overcast clouds,
214,Guacimo,CO,86.0,8.09,-76.36,scattered clouds,
224,Spring Hill,US,80.01,28.46,-82.54,clear sky,Savannah Landings
226,San Carlos De Bariloche,AR,75.2,-41.13,-71.31,few clouds,Hotel Patagonia
232,La Reforma,MX,89.01,25.08,-108.06,scattered clouds,
234,Muisne,EC,80.6,0.61,-80.02,broken clouds,Quinta Samay
240,Acapulco,MX,87.8,16.86,-99.88,clear sky,Crowne Plaza Acapulco
246,Laguna,BZ,84.2,16.17,-88.94,scattered clouds,Laguna Maya Lodge
247,Itarema,BR,89.17,-2.92,-39.92,broken clouds,Windvillage
250,Cayenne,GF,89.6,4.94,-52.33,overcast clouds,Hôtel Le Dronmi
256,Coquimbo,CL,84.0,-29.95,-71.34,overcast clouds,Hotel San Juan
260,Namibe,AO,77.34,-15.19,12.15,scattered clouds,Chik-Chik Namibe
263,Riyadh,SA,80.6,24.63,46.72,broken clouds,Al Salam Hotel
265,Majene,ID,76.01,-3.54,118.97,overcast clouds,Kost Putri RABBANI
274,San Cristobal,HN,76.08,14.68,-86.92,overcast clouds,
275,Najran,SA,75.2,17.54,44.22,clear sky,فندق حياة نجران
280,Santa Rosa,AR,87.17,-36.62,-64.29,broken clouds,Hotel Calfucurá
291,Aswan,EG,84.2,24.09,32.9,few clouds,Nuba Nile
293,Huarmey,PE,79.12,-10.07,-78.15,scattered clouds,Hotel Miramar
297,Sur,OM,76.12,22.57,59.53,few clouds,Sur Plaza Hotel
301,Yatou,CM,82.4,3.63,9.81,thunderstorm,Village Belart
302,Sao Joao Da Barra,BR,86.0,-21.64,-41.05,scattered clouds,Pousada Porto De Canoas
303,Dibulla,CO,87.8,11.27,-73.31,scattered clouds,Hospedaje Dibulla Beach
